,TRASCONTINENTAL,,,,,,,,,,,
,CARTA DE CREDITO / BCO. SCOTIABANK,,,,,,,,,,SE ADICIONO POLIZS,
,VP. TORRENS   LLEGO :  09.05.12,,,,,,PEDIDO 049-11   09  UNIDADES  FORLAND,,,,,
,B/L  EUKOSHPU1081065,,MFTO.  2011- ,,,,,,,,,
,F/C FT11190PE,10.03.12,,,,,,,,,,
, , ,,,,,,,,,,
,,,,,,,,,,,,
,CODIGO,MARCA,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,,MOTOR,COLOR,AÑO
,MODELO,,,,,,,,,,,FAB.
,,,,,,,,,,,,
28,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3117CX615470   ,TRAVESIAS,,LJ465QR1E1 C03322234 ,ROJO VINO,2012
29,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3117CX615484   ,TRAVESIAS,,LJ465QR1E1 C03322405 ,ROJO VINO,2012
30,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3118CX615364   ,TRAVESIAS,,LJ465QR1E1 C03322302 ,ROJO VINO,2012
31,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3118CX615381   ,TRAVESIAS,,LJ465QR1E1 C03322278 ,ROJO VINO,2012
32,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3118CX615400   ,TRAVESIAS,,LJ465QR1E1 C03322341 ,ROJO VINO,2012
33,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3118CX615428   ,TRAVESIAS,,LJ465QR1E1 C03322254 ,ROJO VINO,2012
34,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3118CX615459   ,TRAVESIAS,,LJ465QR1E1 C03322264 ,ROJO VINO,2012
35,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3119CX615356   ,TRAVESIAS,,LJ465QR1E1 C03322357 ,ROJO VINO,2012
36,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3119CX615468   ,TRAVESIAS,,LJ465QR1E1 C03322323 ,ROJO VINO,2012
37,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3119CX615471   ,TRAVESIAS,,LJ465QR1E1 C03322262 ,ROJO VINO,2012
